Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
87.8625;0.329218;11.8888;32.7141;200.0;63.579;23.4366;0.00260237;1
88.2807;0.329189;11.8888;32.7099;200.0;63.5884;23.4371;0.00255634;1
88.7001;0.329161;11.8888;32.7057;200.0;63.5977;23.4377;0.00251135;1
89.1207;0.329135;11.8887;32.7014;200.0;63.607;23.4383;0.0024665;1
89.5424;0.329111;11.8885;32.6968;200.0;63.6168;23.4389;0.0024197;1
89.9654;0.329089;11.8884;32.692;200.0;63.627;23.4397;0.00237196;1
90.3895;0.329069;11.8882;32.6873;200.0;63.637;23.4404;0.00232548;1
90.8148;0.32905;11.888;32.6825;200.0;63.6469;23.4411;0.00227938;1
91.2414;0.329034;11.8877;32.6774;200.0;63.6574;23.442;0.00223149;1
91.6691;0.329019;11.8874;32.6721;200.0;63.6682;23.4428;0.00218276;1
92.098;0.329006;11.887;32.6669;200.0;63.6788;23.4437;0.00213534;1
92.5282;0.328996;11.8866;32.6616;200.0;63.6893;23.4446;0.00208829;1
92.9595;0.328987;11.8862;32.6561;200.0;63.7004;23.4456;0.00203946;1
93.3921;0.328981;11.8857;32.6503;200.0;63.7118;23.4467;0.00198976;1
93.8258;0.328976;11.8852;32.6445;200.0;63.7231;23.4477;0.00194133;1
94.2608;0.328974;11.8847;32.6388;200.0;63.7343;23.4488;0.00189324;1
94.697;0.328973;11.8841;32.6327;200.0;63.746;23.45;0.00184338;1
95.1344;0.328975;11.8835;32.6263;200.0;63.7581;23.4512;0.00179264;1
95.573;0.328979;11.8828;32.6201;200.0;63.77;23.4524;0.00174315;1
96.0126;0.328986;11.8821;32.6137;200.0;63.7819;23.4537;0.00169397;1
96.4528;0.328994;11.8814;32.6071;200.0;63.7944;23.455;0.00164298;1
96.8938;0.329005;11.8805;32.6002;200.0;63.8072;23.4564;0.00159109;1
97.3356;0.329018;11.8797;32.5933;200.0;63.8198;23.4578;0.00154039;1
97.7781;0.329034;11.8788;32.5864;200.0;63.8325;23.4593;0.00149001;1
98.2214;0.329052;11.8779;32.5792;200.0;63.8457;23.4608;0.00143789;1
98.6654;0.329072;11.8769;32.5717;200.0;63.8593;23.4624;0.0013849;1
99.1102;0.329095;11.8759;32.5643;200.0;63.8726;23.464;0.00133313;1
99.5558;0.32912;11.8748;32.5567;200.0;63.8861;23.4657;0.00128168;1
100.002;0.329148;11.8737;32.5489;200.0;63.9;23.4674;0.0012285;1
100.449;0.329179;11.8725;32.5408;200.0;63.9143;23.4692;0.00117445;1
100.897;0.329212;11.8713;32.5328;200.0;63.9285;23.4711;0.00112157;1
101.346;0.329248;11.87;32.5246;200.0;63.9427;23.4729;0.00106901;1
101.795;0.329286;11.8687;32.5162;200.0;63.9574;23.4749;0.00101473;1
102.245;0.329327;11.8673;32.5075;200.0;63.9725;23.4769;9.59565E-4;1
102.696;0.329371;11.8659;32.4988;200.0;63.9875;23.4789;9.05554E-4;1
103.148;0.329417;11.8645;32.49;200.0;64.0025;23.481;8.51845E-4;1
103.6;0.329467;11.8629;32.4808;200.0;64.018;23.4832;7.9642E-4;1
104.053;0.329519;11.8613;32.4715;200.0;64.034;23.4854;7.40133E-4;1
104.507;0.329574;11.8597;32.4621;200.0;64.0498;23.4877;6.84977E-4;1
104.962;0.329632;11.858;32.4526;200.0;64.0656;23.49;6.30125E-4;1
105.417;0.329693;11.8563;32.4428;200.0;64.0821;23.4924;5.73574E-4;1
105.873;0.329757;11.8545;32.4327;200.0;64.0988;23.4949;5.16154E-4;1
106.33;0.329824;11.8526;32.4227;200.0;64.1155;23.4974;4.59854E-4;1
106.788;0.329894;11.8507;32.4125;200.0;64.1323;23.4999;4.03854E-4;1
